,image,image_path,actual_label,predicted_label,confidence
0,7755.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/102/7755.jpg,0,13,0.06320789456367493
0,8526.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/102/8526.jpg,0,13,0.05166444927453995
0,9988.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/102/9988.jpg,0,0,0.061182498931884766
0,4213.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/103/4213.jpg,1,1,0.06679331511259079
0,554.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/103/554.jpg,1,1,0.054525140672922134
0,729.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/103/729.jpg,1,1,0.05627249553799629
0,7395.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/103/7395.jpg,1,1,0.06542808562517166
0,7044.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/104/7044.jpg,2,2,0.04587210714817047
0,736.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/104/736.jpg,2,2,0.055261049419641495
0,887.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/104/887.jpg,2,2,0.04368330538272858
0,9718.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/104/9718.jpg,2,2,0.04939410462975502
0,5697.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/108/5697.jpg,3,3,0.07079080492258072
0,7110.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/108/7110.jpg,3,3,0.05861198902130127
0,8352.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/108/8352.jpg,3,3,0.054314013570547104
0,8399.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/108/8399.jpg,3,3,0.048007842153310776
0,7276.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/111/7276.jpg,4,36,0.041623327881097794
0,7574.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/111/7574.jpg,4,4,0.043879810720682144
0,7826.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/111/7826.jpg,4,39,0.03536464273929596
0,8138.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/111/8138.jpg,4,26,0.04348025843501091
0,3350.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/112/3350.jpg,5,9,0.04840104281902313
0,3511.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/112/3511.jpg,5,5,0.048345401883125305
0,3968.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/112/3968.jpg,5,27,0.03997613117098808
0,8884.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/112/8884.jpg,5,5,0.06301090866327286
0,3520.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/116/3520.jpg,6,6,0.045180078595876694
0,4134.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/116/4134.jpg,6,41,0.048053476959466934
0,6538.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/116/6538.jpg,6,12,0.04499206691980362
0,9406.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/116/9406.jpg,6,13,0.03911367803812027
0,8750.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/121/8750.jpg,7,26,0.047345273196697235
0,9401.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/121/9401.jpg,7,7,0.045400675386190414
0,9706.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/121/9706.jpg,7,7,0.06586737930774689
0,5486.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/122/5486.jpg,8,8,0.042288266122341156
0,6022.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/122/6022.jpg,8,8,0.05247838422656059
0,6666.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/122/6666.jpg,8,8,0.05602715536952019
0,3531.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/Jitter1010/124/3531.jpg,9,9,0.06386569142341614
