,image,image_path,actual_label,predicted_label,confidence
0,7755.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/102/7755.jpg,0,0,0.05397530645132065
0,8526.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/102/8526.jpg,0,13,0.04186297580599785
0,9988.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/102/9988.jpg,0,41,0.05779482424259186
0,4213.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/103/4213.jpg,1,1,0.06223198026418686
0,554.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/103/554.jpg,1,1,0.053245436400175095
0,729.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/103/729.jpg,1,1,0.04984535649418831
0,7395.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/103/7395.jpg,1,1,0.05782200023531914
0,7044.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/104/7044.jpg,2,0,0.04713430255651474
0,736.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/104/736.jpg,2,0,0.05173802375793457
0,887.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/104/887.jpg,2,26,0.03912898525595665
0,9718.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/104/9718.jpg,2,2,0.03845389559864998
0,5697.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/108/5697.jpg,3,26,0.05354795232415199
0,7110.jpg,/home/grads/hassledw/StyleCLIP_Defense/CelebA_HQ_facial_identity_dataset/StyleCLIP-Jitter1010/108/7110.jpg,3,26,0.049603354185819626
