,image,expression,confidence
0,00000.png,neutral,0.4959077537059784
0,00001.png,disgust,0.3088911771774292
0,00002.png,neutral,0.3614090085029602
0,00003.png,neutral,0.37894555926322937
0,00004.png,sad,0.2681000828742981
0,00005.png,disgust,0.27616992592811584
0,00006.png,happy,0.47446680068969727
0,00007.png,happy,0.2288861870765686
0,00008.png,fear,0.2194526493549347
0,00009.png,anger,0.21028979122638702
0,00010.png,happy,0.5494482517242432
0,00011.png,happy,0.6032668352127075
0,00012.png,fear,0.3840634524822235
0,00013.png,contempt,0.27204710245132446
0,00014.png,sad,0.20832301676273346
0,00015.png,sad,0.2849584221839905
0,00016.png,disgust,0.23751656711101532
0,00017.png,happy,0.43095114827156067
0,00018.png,happy,0.4768756031990051
0,00019.png,happy,0.39869529008865356
0,00020.png,surprise,0.2917795479297638
0,00021.png,disgust,0.3289719223976135
0,00022.png,fear,0.24216091632843018
0,00023.png,happy,0.4336387515068054
0,00024.png,anger,0.2810644209384918
0,00025.png,happy,0.3236435055732727
0,00026.png,neutral,0.4245589077472687
0,00027.png,disgust,0.31204771995544434
0,00028.png,anger,0.31354787945747375
0,00029.png,neutral,0.3881271779537201
0,00030.png,disgust,0.3367738127708435
0,00031.png,fear,0.2967325448989868
0,00032.png,happy,0.3629201352596283
0,00033.png,disgust,0.37765029072761536
0,00034.png,disgust,0.3178867697715759
0,00035.png,sad,0.425158828496933
0,00036.png,happy,0.3085593283176422
0,00037.png,happy,0.5148726105690002
0,00038.png,surprise,0.2958604395389557
0,00039.png,anger,0.5392788648605347
0,00040.png,fear,0.3542947471141815
0,00041.png,sad,0.3722861111164093
0,00042.png,disgust,0.42190030217170715
0,00043.png,contempt,0.2978820502758026
0,00044.png,surprise,0.46501705050468445
0,00045.png,happy,0.28789764642715454
0,00046.png,happy,0.4354807734489441
0,00047.png,happy,0.4140527546405792
0,00048.png,anger,0.18536464869976044
0,00049.png,disgust,0.3680945932865143
0,00050.png,contempt,0.24811305105686188
0,00051.png,sad,0.2783002257347107
0,00052.png,happy,0.22964833676815033
0,00053.png,contempt,0.2564277648925781
0,00054.png,sad,0.27928054332733154
0,00055.png,happy,0.3037969768047333
0,00056.png,contempt,0.26525557041168213
0,00057.png,disgust,0.35515671968460083
0,00058.png,anger,0.22900132834911346
0,00059.png,neutral,0.26024314761161804
0,00060.png,sad,0.34260010719299316
0,00061.png,anger,0.3567572832107544
0,00062.png,surprise,0.28685489296913147
0,00063.png,neutral,0.29225945472717285
0,00064.png,disgust,0.3384115993976593
0,00065.png,fear,0.2397470474243164
0,00066.png,contempt,0.2528216242790222
0,00067.png,happy,0.3312388062477112
0,00068.png,surprise,0.25610777735710144
0,00069.png,disgust,0.3942930996417999
0,00070.png,sad,0.20532870292663574
0,00071.png,happy,0.374043345451355
0,00072.png,neutral,0.47253522276878357
0,00073.png,happy,0.4407232701778412
0,00074.png,happy,0.39673560857772827
0,00075.png,disgust,0.4238746464252472
0,00076.png,happy,0.3305549621582031
0,00077.png,contempt,0.2401939034461975
0,00078.png,disgust,0.24387645721435547
0,00079.png,anger,0.23056529462337494
0,00080.png,sad,0.29090699553489685
0,00081.png,happy,0.5098499655723572
0,00082.png,disgust,0.3773774206638336
0,00083.png,neutral,0.3134097456932068
0,00084.png,disgust,0.2378225177526474
0,00085.png,neutral,0.442120224237442
0,00086.png,happy,0.5774442553520203
0,00087.png,sad,0.37526044249534607
0,00088.png,anger,0.3554317057132721
0,00089.png,sad,0.3230474591255188
0,00090.png,happy,0.4707410931587219
0,00091.png,happy,0.6148000359535217
0,00092.png,happy,0.31809455156326294
0,00093.png,contempt,0.31734925508499146
0,00094.png,happy,0.35023173689842224
0,00095.png,happy,0.5339271426200867
0,00096.png,happy,0.40436145663261414
0,00097.png,contempt,0.4896441400051117
0,00098.png,fear,0.2069232314825058
0,00099.png,fear,0.26167887449264526
0,00100.png,anger,0.4258459508419037
0,00101.png,happy,0.540357232093811
0,00102.png,neutral,0.49135860800743103
0,00103.png,happy,0.4072370231151581
0,00104.png,happy,0.5305878520011902
0,00105.png,neutral,0.2916722297668457
0,00106.png,contempt,0.24055488407611847
0,00107.png,happy,0.5609422922134399
0,00108.png,happy,0.44136327505111694
0,00109.png,sad,0.3273181915283203
0,00110.png,happy,0.36764609813690186
0,00111.png,anger,0.401488333940506
0,00112.png,sad,0.2729223370552063
0,00113.png,disgust,0.2484578788280487
0,00114.png,contempt,0.2140752226114273
0,00115.png,happy,0.3745909035205841
0,00116.png,contempt,0.29407161474227905
0,00117.png,sad,0.4100439250469208
0,00118.png,neutral,0.3283971846103668
0,00119.png,sad,0.5103511214256287
0,00120.png,sad,0.5014384388923645
0,00121.png,anger,0.20701567828655243
0,00122.png,sad,0.3225982189178467
0,00123.png,disgust,0.21960267424583435
0,00124.png,contempt,0.22986364364624023
0,00125.png,fear,0.2645244002342224
0,00126.png,happy,0.387358158826828
0,00127.png,happy,0.3494774401187897
0,00128.png,sad,0.34146764874458313
0,00129.png,happy,0.573106050491333
0,00130.png,anger,0.4246078133583069
0,00131.png,happy,0.7114383578300476
0,00132.png,anger,0.4376620352268219
0,00133.png,contempt,0.4553532004356384
0,00134.png,neutral,0.29575031995773315
0,00135.png,neutral,0.23665936291217804
0,00136.png,contempt,0.36249589920043945
0,00137.png,happy,0.3881414234638214
0,00138.png,disgust,0.32671189308166504
0,00139.png,neutral,0.3284001648426056
0,00140.png,happy,0.6144165992736816
0,00141.png,disgust,0.2539612352848053
0,00142.png,fear,0.23233696818351746
0,00143.png,happy,0.5913670063018799
0,00144.png,disgust,0.2867370545864105
0,00145.png,sad,0.2306596040725708
0,00146.png,disgust,0.3156668245792389
0,00147.png,surprise,0.23127387464046478
0,00148.png,neutral,0.28033509850502014
0,00149.png,disgust,0.33997803926467896
0,00150.png,contempt,0.23274682462215424
0,00151.png,surprise,0.36604321002960205
0,00152.png,contempt,0.4017461836338043
0,00153.png,happy,0.2818189859390259
0,00154.png,neutral,0.31152889132499695
0,00155.png,surprise,0.219658762216568
