,image,expression,confidence
0,00000.png,neutral,0.38993197679519653
0,00001.png,happy,0.626773476600647
0,00002.png,happy,0.4278656840324402
0,00003.png,neutral,0.6038697361946106
0,00004.png,contempt,0.3283490240573883
0,00005.png,happy,0.24282783269882202
0,00006.png,happy,0.5525462627410889
0,00007.png,neutral,0.3159011900424957
0,00008.png,neutral,0.3159011900424957
0,00009.png,happy,0.4150925576686859
0,00010.png,happy,0.42019397020339966
0,00011.png,happy,0.7209802269935608
0,00012.png,neutral,0.4196428656578064
0,00013.png,neutral,0.6089662313461304
0,00014.png,happy,0.4379102885723114
0,00015.png,contempt,0.3650112450122833
0,00016.png,happy,0.36499568819999695
0,00017.png,happy,0.5912218689918518
0,00018.png,happy,0.7948313355445862
0,00019.png,happy,0.5412858724594116
0,00020.png,contempt,0.31692296266555786
0,00021.png,disgust,0.48025277256965637
0,00022.png,happy,0.7511563897132874
0,00023.png,happy,0.5400286316871643
0,00024.png,neutral,0.3762837052345276
0,00025.png,happy,0.651559591293335
0,00026.png,neutral,0.5164862871170044
0,00027.png,contempt,0.29527953267097473
0,00028.png,disgust,0.3933597803115845
0,00029.png,neutral,0.3832469880580902
0,00030.png,disgust,0.44040003418922424
0,00031.png,neutral,0.5571779608726501
0,00032.png,happy,0.9061733484268188
0,00033.png,happy,0.39211925864219666
0,00034.png,disgust,0.38108062744140625
0,00035.png,neutral,0.3085937798023224
0,00036.png,happy,0.2964180111885071
0,00037.png,happy,0.7373865842819214
0,00038.png,disgust,0.2844333052635193
0,00039.png,neutral,0.40583544969558716
0,00040.png,neutral,0.3673469126224518
0,00041.png,contempt,0.4735212028026581
0,00042.png,happy,0.48176029324531555
0,00043.png,sad,0.3091988265514374
0,00044.png,neutral,0.3735836148262024
0,00045.png,happy,0.4128406345844269
0,00046.png,disgust,0.42253196239471436
0,00047.png,happy,0.7470656037330627
0,00048.png,contempt,0.35469794273376465
0,00049.png,happy,0.5032726526260376
0,00050.png,neutral,0.33061081171035767
0,00051.png,contempt,0.3402300775051117
0,00052.png,happy,0.40142789483070374
0,00053.png,contempt,0.40664756298065186
0,00054.png,neutral,0.3614744246006012
0,00055.png,happy,0.6903087496757507
0,00056.png,happy,0.5933711528778076
0,00057.png,neutral,0.4443327486515045
0,00058.png,disgust,0.35362744331359863
0,00059.png,neutral,0.5152777433395386
0,00060.png,neutral,0.5152777433395386
0,00061.png,happy,0.3377235233783722
0,00062.png,surprise,0.4891861379146576
0,00063.png,surprise,0.4891861379146576
0,00064.png,neutral,0.2895585298538208
0,00065.png,neutral,0.535533607006073
0,00066.png,happy,0.419170081615448
0,00067.png,happy,0.5285241603851318
0,00068.png,surprise,0.503303050994873
0,00069.png,happy,0.33372071385383606
0,00070.png,disgust,0.3703249394893646
0,00071.png,happy,0.5528512597084045
0,00072.png,neutral,0.26551687717437744
0,00073.png,happy,0.5684292912483215
0,00074.png,happy,0.4961070716381073
0,00075.png,disgust,0.21403734385967255
0,00076.png,happy,0.6126533150672913
0,00077.png,contempt,0.3057229816913605
0,00078.png,happy,0.4399389922618866
0,00079.png,happy,0.6775152683258057
0,00080.png,neutral,0.3282022476196289
0,00081.png,happy,0.6994652152061462
0,00082.png,happy,0.30769094824790955
0,00083.png,neutral,0.34272292256355286
0,00084.png,contempt,0.3528623580932617
0,00085.png,neutral,0.38542309403419495
0,00086.png,happy,0.7662358283996582
0,00087.png,contempt,0.34991952776908875
0,00088.png,happy,0.2954126000404358
0,00089.png,neutral,0.3005286157131195
0,00090.png,happy,0.6408224701881409
0,00091.png,happy,0.6506635546684265
0,00092.png,happy,0.6114097833633423
0,00093.png,contempt,0.2721094787120819
0,00094.png,happy,0.5849938988685608
0,00095.png,happy,0.42755842208862305
0,00096.png,happy,0.683234453201294
0,00097.png,contempt,0.3629748821258545
0,00098.png,neutral,0.4700881242752075
0,00099.png,neutral,0.43699926137924194
