,image,expression,confidence
0,00000.png,neutral,0.46115735173225403
0,00001.png,happy,0.35405847430229187
0,00002.png,neutral,0.3785104751586914
0,00003.png,neutral,0.40913066267967224
0,00004.png,contempt,0.2136211097240448
0,00005.png,anger,0.40972086787223816
0,00006.png,happy,0.6799204349517822
0,00007.png,neutral,0.26015037298202515
0,00008.png,happy,0.4054202139377594
0,00009.png,happy,0.23053844273090363
0,00010.png,happy,0.3200613260269165
0,00011.png,happy,0.607424795627594
0,00012.png,fear,0.4356502592563629
0,00013.png,neutral,0.4583166539669037
0,00014.png,happy,0.4764540493488312
0,00015.png,contempt,0.2820807695388794
0,00016.png,neutral,0.28564023971557617
0,00017.png,happy,0.4232051372528076
0,00018.png,happy,0.578995406627655
0,00019.png,happy,0.46920540928840637
0,00020.png,contempt,0.355352520942688
0,00021.png,disgust,0.34415411949157715
0,00022.png,happy,0.5199490785598755
0,00023.png,happy,0.3335570693016052
0,00024.png,anger,0.3028455674648285
0,00025.png,happy,0.5205063819885254
0,00026.png,neutral,0.5794833302497864
0,00027.png,disgust,0.3727712631225586
0,00028.png,anger,0.32648447155952454
0,00029.png,neutral,0.354789674282074
0,00030.png,disgust,0.3365784287452698
0,00031.png,anger,0.20651783049106598
0,00032.png,happy,0.5558862686157227
0,00033.png,happy,0.39309537410736084
0,00034.png,happy,0.35676831007003784
0,00035.png,sad,0.31944984197616577
0,00036.png,happy,0.33543193340301514
0,00037.png,happy,0.7772312760353088
0,00038.png,surprise,0.34257107973098755
0,00039.png,anger,0.5413752794265747
0,00040.png,contempt,0.3304314911365509
0,00041.png,sad,0.4218156337738037
0,00042.png,happy,0.3497639298439026
0,00043.png,disgust,0.26113009452819824
0,00044.png,happy,0.47382852435112
0,00045.png,happy,0.34139761328697205
0,00046.png,happy,0.5058724284172058
0,00047.png,happy,0.4849565029144287
0,00048.png,surprise,0.242586150765419
0,00049.png,happy,0.3170578181743622
0,00050.png,contempt,0.2874003052711487
0,00051.png,sad,0.23388369381427765
0,00052.png,fear,0.21565598249435425
0,00053.png,neutral,0.31125307083129883
0,00054.png,neutral,0.3272169828414917
0,00055.png,happy,0.5809460878372192
0,00056.png,happy,0.28994929790496826
0,00057.png,disgust,0.25464993715286255
0,00058.png,anger,0.29500797390937805
0,00059.png,neutral,0.3123413622379303
0,00060.png,sad,0.29117199778556824
0,00061.png,happy,0.24468711018562317
0,00062.png,surprise,0.3608534038066864
0,00063.png,neutral,0.34923824667930603
0,00064.png,contempt,0.2719060778617859
0,00065.png,fear,0.22602759301662445
0,00066.png,contempt,0.21722771227359772
0,00067.png,happy,0.5678607821464539
0,00068.png,surprise,0.237014502286911
0,00069.png,neutral,0.3591226041316986
0,00070.png,neutral,0.21479910612106323
0,00071.png,happy,0.6755031943321228
0,00072.png,neutral,0.5024001598358154
0,00073.png,happy,0.4394427537918091
0,00074.png,happy,0.5286197662353516
0,00075.png,disgust,0.33193260431289673
0,00076.png,happy,0.47520771622657776
0,00077.png,contempt,0.4819983243942261
0,00078.png,happy,0.4414309561252594
0,00079.png,happy,0.38559380173683167
0,00080.png,fear,0.24067486822605133
0,00081.png,happy,0.5787205696105957
0,00082.png,happy,0.24986399710178375
0,00083.png,anger,0.3902558982372284
0,00084.png,contempt,0.21855072677135468
0,00085.png,neutral,0.27970850467681885
0,00086.png,happy,0.6095852255821228
0,00087.png,contempt,0.3464808166027069
0,00088.png,anger,0.3046572506427765
0,00089.png,sad,0.2953259348869324
0,00090.png,happy,0.5437219738960266
0,00091.png,happy,0.6292920708656311
0,00092.png,happy,0.36296138167381287
0,00093.png,contempt,0.3187028765678406
0,00094.png,happy,0.37549370527267456
0,00095.png,happy,0.6474733352661133
0,00096.png,happy,0.46230390667915344
0,00097.png,contempt,0.48876070976257324
0,00098.png,neutral,0.3142642676830292
0,00099.png,fear,0.3589142858982086
0,00100.png,happy,0.2491207718849182
0,00101.png,happy,0.5345801115036011
0,00102.png,neutral,0.41211050748825073
0,00103.png,happy,0.3619188070297241
0,00104.png,happy,0.5683978796005249
0,00105.png,neutral,0.26467546820640564
0,00106.png,contempt,0.3304697871208191
0,00107.png,happy,0.5530816316604614
0,00108.png,disgust,0.2987011671066284
0,00109.png,neutral,0.5042802095413208
0,00110.png,happy,0.4951537251472473
0,00111.png,anger,0.30378463864326477
0,00112.png,disgust,0.30127689242362976
0,00113.png,disgust,0.2941378653049469
0,00114.png,contempt,0.26423367857933044
0,00115.png,happy,0.46227049827575684
0,00116.png,happy,0.42536336183547974
0,00117.png,sad,0.4255395233631134
0,00118.png,neutral,0.41628313064575195
0,00119.png,sad,0.4421613812446594
0,00120.png,sad,0.6089003086090088
0,00121.png,anger,0.3354049026966095
0,00122.png,sad,0.3450600802898407
0,00123.png,neutral,0.2676531672477722
0,00124.png,sad,0.24547536671161652
0,00125.png,neutral,0.294253945350647
0,00126.png,happy,0.2817254066467285
0,00127.png,anger,0.2575380802154541
0,00128.png,anger,0.43449610471725464
0,00129.png,happy,0.6311241388320923
0,00130.png,anger,0.3413209319114685
0,00131.png,happy,0.6820595860481262
0,00132.png,anger,0.2868494391441345
0,00133.png,contempt,0.3380897045135498
0,00134.png,anger,0.22153863310813904
0,00135.png,neutral,0.31454646587371826
0,00136.png,neutral,0.27521976828575134
0,00137.png,happy,0.5163612365722656
0,00138.png,happy,0.4778459668159485
0,00139.png,sad,0.3159707486629486
0,00140.png,happy,0.6411166191101074
0,00141.png,happy,0.4362090826034546
0,00142.png,neutral,0.3063006103038788
0,00143.png,happy,0.5734167695045471
0,00144.png,disgust,0.29192104935646057
0,00145.png,disgust,0.2326832264661789
0,00146.png,happy,0.29677751660346985
0,00147.png,sad,0.25112175941467285
0,00148.png,neutral,0.25238940119743347
