,image,expression,confidence
0,00000.png,ERR,1.0
0,00001.png,ERR,1.0
0,00002.png,ERR,1.0
0,00003.png,ERR,1.0
0,00004.png,ERR,1.0
0,00005.png,ERR,1.0
0,00006.png,ERR,1.0
0,00007.png,ERR,1.0
0,00008.png,ERR,1.0
0,00009.png,ERR,1.0
0,00010.png,ERR,1.0
0,00011.png,ERR,1.0
0,00012.png,ERR,1.0
0,00013.png,ERR,1.0
0,00014.png,ERR,1.0
0,00015.png,ERR,1.0
0,00016.png,ERR,1.0
0,00017.png,ERR,1.0
0,00018.png,ERR,1.0
0,00019.png,ERR,1.0
0,00020.png,ERR,1.0
0,00021.png,ERR,1.0
0,00022.png,ERR,1.0
0,00023.png,ERR,1.0
0,00024.png,ERR,1.0
0,00025.png,ERR,1.0
0,00026.png,ERR,1.0
0,00027.png,ERR,1.0
0,00028.png,ERR,1.0
0,00029.png,ERR,1.0
0,00030.png,ERR,1.0
0,00031.png,ERR,1.0
0,00032.png,ERR,1.0
0,00033.png,ERR,1.0
0,00034.png,ERR,1.0
0,00035.png,ERR,1.0
0,00036.png,ERR,1.0
0,00037.png,ERR,1.0
0,00038.png,ERR,1.0
0,00039.png,ERR,1.0
0,00040.png,ERR,1.0
0,00041.png,ERR,1.0
0,00042.png,ERR,1.0
0,00043.png,ERR,1.0
0,00044.png,ERR,1.0
0,00045.png,ERR,1.0
0,00046.png,ERR,1.0
0,00047.png,ERR,1.0
0,00048.png,ERR,1.0
0,00049.png,ERR,1.0
0,00050.png,ERR,1.0
0,00051.png,ERR,1.0
0,00052.png,ERR,1.0
0,00053.png,ERR,1.0
0,00054.png,ERR,1.0
0,00055.png,ERR,1.0
0,00056.png,ERR,1.0
0,00057.png,ERR,1.0
0,00058.png,ERR,1.0
0,00059.png,ERR,1.0
0,00060.png,ERR,1.0
0,00061.png,ERR,1.0
0,00062.png,ERR,1.0
0,00063.png,ERR,1.0
0,00064.png,ERR,1.0
0,00065.png,ERR,1.0
0,00066.png,ERR,1.0
0,00067.png,ERR,1.0
0,00068.png,ERR,1.0
0,00069.png,ERR,1.0
0,00070.png,ERR,1.0
0,00071.png,ERR,1.0
0,00072.png,ERR,1.0
0,00073.png,ERR,1.0
0,00074.png,ERR,1.0
0,00075.png,ERR,1.0
0,00076.png,ERR,1.0
0,00077.png,ERR,1.0
0,00078.png,ERR,1.0
0,00079.png,ERR,1.0
0,00080.png,ERR,1.0
0,00081.png,ERR,1.0
0,00082.png,ERR,1.0
0,00083.png,ERR,1.0
0,00084.png,ERR,1.0
0,00085.png,ERR,1.0
0,00086.png,ERR,1.0
0,00087.png,ERR,1.0
0,00088.png,ERR,1.0
0,00089.png,ERR,1.0
0,00090.png,ERR,1.0
0,00091.png,ERR,1.0
0,00092.png,ERR,1.0
0,00093.png,ERR,1.0
0,00094.png,ERR,1.0
0,00095.png,ERR,1.0
0,00096.png,ERR,1.0
0,00097.png,ERR,1.0
0,00098.png,ERR,1.0
0,00099.png,ERR,1.0
