,image,expression,confidence
0,00000.png,neutral,0.48545128107070923
0,00001.png,happy,0.2998700737953186
0,00002.png,happy,0.3561559021472931
0,00003.png,neutral,0.42871496081352234
0,00004.png,surprise,0.19460324943065643
0,00005.png,neutral,0.2976128160953522
0,00006.png,happy,0.7085636258125305
0,00007.png,happy,0.27788808941841125
0,00008.png,happy,0.37811198830604553
0,00009.png,happy,0.270325243473053
0,00010.png,happy,0.34623685479164124
0,00011.png,happy,0.6734772324562073
0,00012.png,fear,0.2964057922363281
0,00013.png,neutral,0.4580869972705841
0,00014.png,happy,0.5021064877510071
0,00015.png,contempt,0.3429464101791382
0,00016.png,neutral,0.2936796247959137
0,00017.png,happy,0.5656183362007141
0,00018.png,happy,0.6384332776069641
0,00019.png,happy,0.5004451274871826
0,00020.png,contempt,0.31934213638305664
0,00021.png,anger,0.3398136794567108
0,00022.png,happy,0.5684177279472351
0,00023.png,happy,0.4459856450557709
0,00024.png,anger,0.2847152352333069
0,00025.png,happy,0.552635669708252
0,00026.png,neutral,0.5211069583892822
0,00027.png,disgust,0.3485970199108124
0,00028.png,anger,0.2587755620479584
0,00029.png,neutral,0.34810686111450195
0,00030.png,disgust,0.304655522108078
0,00031.png,surprise,0.2659660875797272
0,00032.png,happy,0.5599881410598755
0,00033.png,happy,0.30383816361427307
0,00034.png,happy,0.3802132308483124
0,00035.png,neutral,0.40716552734375
0,00036.png,happy,0.2687699496746063
0,00037.png,happy,0.7897930145263672
0,00038.png,surprise,0.41525551676750183
0,00039.png,anger,0.49189868569374084
0,00040.png,contempt,0.32465633749961853
0,00041.png,contempt,0.41426950693130493
0,00042.png,happy,0.37062591314315796
0,00043.png,disgust,0.2569558620452881
0,00044.png,surprise,0.4113326668739319
0,00045.png,happy,0.3988356292247772
0,00046.png,happy,0.45875126123428345
0,00047.png,happy,0.5605340003967285
0,00048.png,surprise,0.3832501173019409
0,00049.png,happy,0.48125213384628296
0,00050.png,contempt,0.3170221149921417
0,00051.png,neutral,0.32551339268684387
0,00052.png,surprise,0.2717488408088684
0,00053.png,neutral,0.29528579115867615
0,00054.png,surprise,0.2862609922885895
0,00055.png,happy,0.6657971739768982
0,00056.png,happy,0.3492208421230316
0,00057.png,disgust,0.2779533267021179
0,00058.png,contempt,0.24528220295906067
0,00059.png,neutral,0.44861242175102234
0,00060.png,anger,0.2846755087375641
0,00061.png,neutral,0.2484864741563797
0,00062.png,surprise,0.4239383041858673
0,00063.png,sad,0.2478954941034317
0,00064.png,contempt,0.27224621176719666
0,00065.png,surprise,0.3876534402370453
0,00066.png,contempt,0.23880159854888916
0,00067.png,happy,0.6039584279060364
0,00068.png,surprise,0.2965404987335205
0,00069.png,happy,0.4133623242378235
0,00070.png,neutral,0.2556436359882355
0,00071.png,happy,0.7016844749450684
0,00072.png,neutral,0.5347594022750854
0,00073.png,happy,0.5931767821311951
0,00074.png,happy,0.46973082423210144
0,00075.png,disgust,0.37856021523475647
0,00076.png,happy,0.5152901411056519
0,00077.png,contempt,0.473867267370224
0,00078.png,happy,0.5131552815437317
0,00079.png,happy,0.3986768424510956
0,00080.png,neutral,0.30867883563041687
0,00081.png,happy,0.604499340057373
0,00082.png,disgust,0.28242552280426025
0,00083.png,anger,0.41429761052131653
0,00084.png,contempt,0.3039364814758301
0,00085.png,neutral,0.3893042504787445
0,00086.png,happy,0.7015073895454407
0,00087.png,contempt,0.3394342362880707
0,00088.png,anger,0.24201516807079315
0,00089.png,neutral,0.35992011427879333
0,00090.png,happy,0.558682918548584
0,00091.png,happy,0.7587193846702576
0,00092.png,happy,0.42429864406585693
0,00093.png,contempt,0.3345893621444702
0,00094.png,disgust,0.34709107875823975
0,00095.png,happy,0.676659882068634
0,00096.png,happy,0.5075977444648743
0,00097.png,contempt,0.5565198063850403
0,00098.png,neutral,0.38445809483528137
0,00099.png,surprise,0.34939044713974
0,00100.png,happy,0.35516053438186646
0,00101.png,happy,0.6350874900817871
0,00102.png,neutral,0.3634825050830841
0,00103.png,happy,0.5407580137252808
0,00104.png,happy,0.5937249660491943
0,00105.png,neutral,0.4407773017883301
0,00106.png,contempt,0.32328423857688904
0,00107.png,happy,0.5841823816299438
0,00108.png,happy,0.48863890767097473
0,00109.png,neutral,0.5718693137168884
0,00110.png,happy,0.5271883010864258
0,00111.png,anger,0.3882676064968109
0,00112.png,disgust,0.21879471838474274
0,00113.png,happy,0.4464767575263977
0,00114.png,contempt,0.19424523413181305
0,00115.png,happy,0.5533555150032043
0,00116.png,happy,0.5583754777908325
0,00117.png,sad,0.4269079566001892
0,00118.png,neutral,0.4728046953678131
0,00119.png,sad,0.3919448256492615
0,00120.png,sad,0.5402196645736694
0,00121.png,anger,0.2773001790046692
0,00122.png,sad,0.3034822344779968
0,00123.png,neutral,0.3055060803890228
0,00124.png,disgust,0.3178900182247162
0,00125.png,neutral,0.3415808379650116
0,00126.png,contempt,0.24036070704460144
0,00127.png,happy,0.2637733817100525
0,00128.png,anger,0.27643293142318726
0,00129.png,happy,0.625307023525238
0,00130.png,anger,0.32721567153930664
0,00131.png,happy,0.798598051071167
0,00132.png,surprise,0.22617506980895996
0,00133.png,disgust,0.38975048065185547
0,00134.png,neutral,0.27059265971183777
0,00135.png,neutral,0.39824041724205017
0,00136.png,neutral,0.26277944445610046
0,00137.png,happy,0.568174421787262
0,00138.png,happy,0.46198198199272156
0,00139.png,sad,0.2499796748161316
0,00140.png,happy,0.6822033524513245
0,00141.png,happy,0.47172874212265015
0,00142.png,neutral,0.3306499421596527
0,00143.png,happy,0.7097094058990479
0,00144.png,disgust,0.25757646560668945
0,00145.png,disgust,0.2938575744628906
0,00146.png,happy,0.4397040605545044
0,00147.png,surprise,0.33616599440574646
0,00148.png,neutral,0.3947419226169586
0,00149.png,happy,0.46848127245903015
0,00150.png,happy,0.4048243761062622
