,image,expression,confidence
0,00000.png,surprise,0.31026846170425415
0,00001.png,happy,0.6322199106216431
0,00002.png,happy,0.2997071146965027
0,00003.png,surprise,0.4411487281322479
0,00004.png,contempt,0.259685754776001
0,00005.png,contempt,0.2557508945465088
0,00006.png,happy,0.6453672647476196
0,00007.png,happy,0.4412526488304138
0,00008.png,happy,0.296427458524704
0,00009.png,happy,0.5853583812713623
0,00010.png,happy,0.6343733668327332
0,00011.png,happy,0.6665796637535095
0,00012.png,surprise,0.3342111110687256
0,00013.png,neutral,0.530120849609375
0,00014.png,happy,0.4159420132637024
0,00015.png,contempt,0.5411491990089417
0,00016.png,contempt,0.40340155363082886
0,00017.png,happy,0.3873266875743866
0,00018.png,happy,0.8033602237701416
0,00019.png,happy,0.7397541999816895
0,00020.png,contempt,0.43551918864250183
0,00021.png,disgust,0.29619845747947693
0,00022.png,happy,0.5523900985717773
0,00023.png,happy,0.5499582290649414
0,00024.png,neutral,0.31430962681770325
0,00025.png,happy,0.5454920530319214
0,00026.png,neutral,0.607587993144989
0,00027.png,disgust,0.38502857089042664
0,00028.png,disgust,0.2798406779766083
0,00029.png,contempt,0.4402664005756378
0,00030.png,happy,0.4733927845954895
0,00031.png,surprise,0.6181548237800598
0,00032.png,happy,0.626165509223938
0,00033.png,disgust,0.30840247869491577
0,00034.png,happy,0.5455393195152283
0,00035.png,neutral,0.4106508493423462
0,00036.png,happy,0.40524473786354065
0,00037.png,happy,0.783995509147644
0,00038.png,surprise,0.4778330624103546
0,00039.png,neutral,0.3202606439590454
0,00040.png,contempt,0.3960145115852356
0,00041.png,contempt,0.6201307773590088
0,00042.png,happy,0.38543519377708435
0,00043.png,contempt,0.30323630571365356
0,00044.png,surprise,0.2899742126464844
0,00045.png,happy,0.6884343028068542
0,00046.png,happy,0.4508042633533478
0,00047.png,happy,0.7585326433181763
0,00048.png,surprise,0.33182066679000854
0,00049.png,happy,0.6347886323928833
0,00050.png,contempt,0.4460548758506775
0,00051.png,contempt,0.3274940252304077
0,00052.png,surprise,0.2734282314777374
0,00053.png,contempt,0.4003967344760895
0,00054.png,surprise,0.571574866771698
0,00055.png,happy,0.746619701385498
0,00056.png,happy,0.507948100566864
0,00057.png,contempt,0.4371650815010071
0,00058.png,contempt,0.329427033662796
0,00059.png,neutral,0.44409096240997314
0,00060.png,sad,0.23957408964633942
0,00061.png,happy,0.34328365325927734
0,00062.png,surprise,0.46365490555763245
0,00063.png,neutral,0.30060309171676636
0,00064.png,contempt,0.40539291501045227
0,00065.png,surprise,0.4595041275024414
0,00066.png,contempt,0.3162372410297394
0,00067.png,happy,0.7875991463661194
0,00068.png,surprise,0.4410765767097473
0,00069.png,happy,0.5809487104415894
0,00070.png,surprise,0.31289607286453247
0,00071.png,happy,0.6059578061103821
0,00072.png,neutral,0.2965588867664337
0,00073.png,happy,0.7397202253341675
0,00074.png,happy,0.7211567163467407
0,00075.png,disgust,0.3846489191055298
0,00076.png,happy,0.7731512188911438
0,00077.png,contempt,0.5905792117118835
0,00078.png,happy,0.6639816761016846
0,00079.png,happy,0.7689597010612488
0,00080.png,surprise,0.3091983199119568
0,00081.png,happy,0.6837656497955322
0,00082.png,happy,0.5526098012924194
0,00083.png,neutral,0.32954370975494385
0,00084.png,contempt,0.420816034078598
0,00085.png,contempt,0.4008544087409973
0,00086.png,happy,0.7549575567245483
0,00087.png,contempt,0.519690990447998
0,00088.png,neutral,0.22015120089054108
0,00089.png,contempt,0.3506137728691101
0,00090.png,happy,0.8295637965202332
0,00091.png,happy,0.7940173149108887
0,00092.png,happy,0.44463738799095154
0,00093.png,happy,0.5847899913787842
0,00094.png,happy,0.5443549752235413
0,00095.png,happy,0.7892354130744934
0,00096.png,happy,0.6076830625534058
0,00097.png,contempt,0.5718712210655212
0,00098.png,neutral,0.38763874769210815
0,00099.png,surprise,0.5034764409065247
0,00100.png,happy,0.5904326438903809
0,00101.png,happy,0.7305371761322021
0,00102.png,surprise,0.5179572701454163
0,00103.png,happy,0.7478377819061279
0,00104.png,happy,0.739202082157135
0,00105.png,contempt,0.4232005178928375
0,00106.png,contempt,0.43144169449806213
0,00107.png,happy,0.6450861692428589
0,00108.png,happy,0.5077649354934692
0,00109.png,neutral,0.5561249852180481
0,00110.png,happy,0.8612101674079895
0,00111.png,neutral,0.3101353049278259
0,00112.png,disgust,0.3301098048686981
0,00113.png,happy,0.6611465811729431
0,00114.png,contempt,0.5084481239318848
0,00115.png,happy,0.5572674870491028
