,image,expression,confidence
0,00000.png,neutral,0.4996275007724762
0,00001.png,happy,0.5014821887016296
0,00002.png,happy,0.33205723762512207
0,00003.png,neutral,0.4917934834957123
0,00004.png,contempt,0.22667671740055084
0,00005.png,anger,0.42185306549072266
0,00006.png,happy,0.4716302454471588
0,00007.png,neutral,0.5330490469932556
0,00008.png,happy,0.2767041325569153
0,00009.png,happy,0.36382973194122314
0,00010.png,neutral,0.4821516275405884
0,00011.png,happy,0.5294153094291687
0,00012.png,fear,0.5412182807922363
0,00013.png,neutral,0.38210952281951904
0,00014.png,happy,0.5833650827407837
0,00015.png,contempt,0.3106454312801361
0,00016.png,contempt,0.25739774107933044
0,00017.png,happy,0.5518721342086792
0,00018.png,happy,0.6569814682006836
0,00019.png,happy,0.3860326409339905
0,00020.png,contempt,0.332534521818161
0,00021.png,disgust,0.42596784234046936
0,00022.png,happy,0.3553381860256195
0,00023.png,happy,0.5580437779426575
0,00024.png,neutral,0.38468241691589355
0,00025.png,happy,0.4250313639640808
0,00026.png,neutral,0.5574176907539368
0,00027.png,disgust,0.26541489362716675
0,00028.png,disgust,0.2794756591320038
0,00029.png,neutral,0.33900123834609985
0,00030.png,disgust,0.2552206814289093
0,00031.png,neutral,0.3198910057544708
0,00032.png,happy,0.30708402395248413
0,00033.png,neutral,0.300097793340683
0,00034.png,happy,0.28212907910346985
0,00035.png,neutral,0.2576630711555481
0,00036.png,happy,0.37990039587020874
0,00037.png,happy,0.6144829392433167
0,00038.png,surprise,0.2612626850605011
0,00039.png,neutral,0.2566397488117218
0,00040.png,neutral,0.3114558458328247
0,00041.png,sad,0.4331156313419342
0,00042.png,disgust,0.26799216866493225
0,00043.png,neutral,0.29375335574150085
0,00044.png,happy,0.36113297939300537
0,00045.png,happy,0.4070224165916443
0,00046.png,happy,0.2687448561191559
0,00047.png,happy,0.5111681222915649
0,00048.png,neutral,0.4020453989505768
0,00049.png,happy,0.5294173955917358
0,00050.png,neutral,0.3088518977165222
0,00051.png,neutral,0.2890215814113617
0,00052.png,contempt,0.30804646015167236
0,00053.png,contempt,0.2763333022594452
0,00054.png,neutral,0.27414146065711975
0,00055.png,happy,0.3579966425895691
0,00056.png,happy,0.47503483295440674
