,image,expression,confidence
0,00000.png,neutral,0.4133166968822479
0,00001.png,happy,0.6488535404205322
0,00002.png,happy,0.5317573547363281
0,00003.png,neutral,0.5876280069351196
0,00004.png,contempt,0.33150553703308105
0,00005.png,neutral,0.3154465854167938
0,00006.png,happy,0.5647441744804382
0,00007.png,neutral,0.3794163465499878
0,00008.png,neutral,0.3794163465499878
0,00009.png,happy,0.5655843615531921
0,00010.png,happy,0.4824918508529663
0,00011.png,happy,0.7849274277687073
0,00012.png,neutral,0.45829740166664124
0,00013.png,neutral,0.5771030783653259
0,00014.png,happy,0.5502287745475769
0,00015.png,contempt,0.4828190207481384
0,00016.png,happy,0.33788469433784485
0,00017.png,happy,0.3879297077655792
0,00018.png,happy,0.8238096237182617
0,00019.png,happy,0.5145788788795471
0,00020.png,contempt,0.3792738914489746
0,00021.png,disgust,0.4923343360424042
0,00022.png,happy,0.772250771522522
0,00023.png,happy,0.4754956066608429
0,00024.png,neutral,0.48113179206848145
0,00025.png,happy,0.6776697039604187
0,00026.png,neutral,0.6200329065322876
0,00027.png,happy,0.38400599360466003
0,00028.png,neutral,0.45920830965042114
0,00029.png,neutral,0.341612845659256
0,00030.png,disgust,0.44080689549446106
0,00031.png,neutral,0.5306344032287598
0,00032.png,happy,0.8833112120628357
0,00033.png,happy,0.4825782775878906
0,00034.png,happy,0.33911287784576416
0,00035.png,neutral,0.299835205078125
0,00036.png,happy,0.31369122862815857
0,00037.png,happy,0.7233521938323975
0,00038.png,disgust,0.5041574835777283
0,00039.png,neutral,0.3732706308364868
0,00040.png,contempt,0.41917386651039124
0,00041.png,contempt,0.46394288539886475
0,00042.png,happy,0.34500956535339355
0,00043.png,disgust,0.28078827261924744
0,00044.png,neutral,0.4146311581134796
0,00045.png,happy,0.36609548330307007
0,00046.png,disgust,0.38925495743751526
0,00047.png,happy,0.7825831174850464
0,00048.png,contempt,0.37755516171455383
0,00049.png,happy,0.5111023783683777
0,00050.png,neutral,0.36374062299728394
0,00051.png,contempt,0.30684900283813477
0,00052.png,happy,0.5431913733482361
0,00053.png,contempt,0.4177760183811188
0,00054.png,neutral,0.36139583587646484
0,00055.png,happy,0.6939489245414734
0,00056.png,happy,0.5903859734535217
0,00057.png,neutral,0.5284653306007385
0,00058.png,disgust,0.3982703685760498
0,00059.png,neutral,0.46582549810409546
0,00060.png,neutral,0.43901368975639343
0,00061.png,happy,0.2998819351196289
0,00062.png,surprise,0.4812578856945038
0,00063.png,neutral,0.5290755033493042
0,00064.png,neutral,0.3220939338207245
0,00065.png,neutral,0.5311312675476074
0,00066.png,happy,0.3922926187515259
0,00067.png,happy,0.5429105162620544
0,00068.png,neutral,0.4279634654521942
0,00069.png,happy,0.38227105140686035
0,00070.png,neutral,0.3716287612915039
0,00071.png,happy,0.6640760898590088
0,00072.png,neutral,0.2816871404647827
0,00073.png,happy,0.6722539663314819
0,00074.png,happy,0.573017418384552
0,00075.png,contempt,0.23499234020709991
0,00076.png,happy,0.5752135515213013
0,00077.png,contempt,0.3498835563659668
0,00078.png,happy,0.5228092074394226
0,00079.png,happy,0.7509186863899231
0,00080.png,neutral,0.43452975153923035
0,00081.png,happy,0.6943426728248596
0,00082.png,happy,0.38958513736724854
0,00083.png,neutral,0.3613458573818207
0,00084.png,contempt,0.38770791888237
0,00085.png,neutral,0.3830241858959198
0,00086.png,happy,0.7764662504196167
0,00087.png,contempt,0.35068508982658386
0,00088.png,neutral,0.30878981947898865
0,00089.png,neutral,0.3244922161102295
0,00090.png,happy,0.6855719685554504
0,00091.png,happy,0.70574951171875
0,00092.png,happy,0.6421217322349548
0,00093.png,contempt,0.2867530882358551
0,00094.png,happy,0.5840417146682739
0,00095.png,happy,0.46749642491340637
0,00096.png,happy,0.7066604495048523
0,00097.png,contempt,0.32791632413864136
0,00098.png,neutral,0.48721927404403687
0,00099.png,neutral,0.42870619893074036
