,image,expression,confidence
0,00000.png,contempt,0.22643937170505524
0,00001.png,neutral,0.21560117602348328
0,00002.png,contempt,0.2075829952955246
0,00003.png,contempt,0.23376071453094482
0,00004.png,disgust,0.2450617253780365
0,00005.png,neutral,0.3019992411136627
0,00006.png,neutral,0.2764260768890381
0,00007.png,disgust,0.26399287581443787
0,00008.png,contempt,0.2324582189321518
0,00009.png,disgust,0.32621943950653076
0,00010.png,contempt,0.3532622754573822
0,00011.png,disgust,0.24321432411670685
0,00012.png,contempt,0.2890036106109619
0,00013.png,contempt,0.24997085332870483
0,00014.png,contempt,0.3380383849143982
0,00015.png,contempt,0.19403076171875
0,00016.png,contempt,0.24493585526943207
0,00017.png,disgust,0.26755082607269287
0,00018.png,contempt,0.2870255410671234
0,00019.png,contempt,0.34249088168144226
0,00020.png,disgust,0.23937714099884033
0,00021.png,contempt,0.2529330253601074
0,00022.png,contempt,0.21456746757030487
0,00023.png,contempt,0.21501366794109344
0,00024.png,contempt,0.2756933271884918
0,00025.png,contempt,0.1992993801832199
0,00026.png,contempt,0.2300776243209839
0,00027.png,contempt,0.23274023830890656
0,00028.png,contempt,0.2462058663368225
0,00029.png,contempt,0.24083365499973297
0,00030.png,disgust,0.27705666422843933
0,00031.png,contempt,0.28427642583847046
0,00032.png,contempt,0.30690717697143555
0,00033.png,contempt,0.2929057478904724
0,00034.png,disgust,0.22149711847305298
0,00035.png,disgust,0.23189041018486023
0,00036.png,contempt,0.24687042832374573
0,00037.png,neutral,0.258644163608551
0,00038.png,neutral,0.24405398964881897
0,00039.png,disgust,0.228135347366333
0,00040.png,neutral,0.2693365514278412
0,00041.png,contempt,0.2641696631908417
0,00042.png,neutral,0.24838872253894806
0,00043.png,neutral,0.29766884446144104
0,00044.png,contempt,0.18580688536167145
0,00045.png,disgust,0.21706627309322357
0,00046.png,contempt,0.24205073714256287
0,00047.png,disgust,0.307142049074173
0,00048.png,contempt,0.2981186807155609
0,00049.png,disgust,0.24887828528881073
0,00050.png,contempt,0.26190438866615295
0,00051.png,contempt,0.2418123036623001
0,00052.png,contempt,0.2677494287490845
0,00053.png,contempt,0.2891908586025238
0,00054.png,neutral,0.26922091841697693
0,00055.png,happy,0.3580809533596039
0,00056.png,disgust,0.21586942672729492
0,00057.png,disgust,0.24720165133476257
0,00058.png,neutral,0.2162669599056244
0,00059.png,disgust,0.29877763986587524
0,00060.png,disgust,0.24648618698120117
0,00061.png,contempt,0.23838505148887634
0,00062.png,contempt,0.30100229382514954
0,00063.png,contempt,0.25701904296875
0,00064.png,contempt,0.2756651043891907
0,00065.png,disgust,0.20637832581996918
0,00066.png,disgust,0.2570210099220276
0,00067.png,contempt,0.2968376576900482
0,00068.png,neutral,0.34832045435905457
0,00069.png,contempt,0.39041614532470703
0,00070.png,contempt,0.20114202797412872
0,00071.png,disgust,0.20414552092552185
0,00072.png,contempt,0.24429436028003693
0,00073.png,disgust,0.21987992525100708
0,00074.png,disgust,0.28349193930625916
0,00075.png,disgust,0.24980628490447998
0,00076.png,disgust,0.3195732533931732
0,00077.png,contempt,0.23177631199359894
0,00078.png,contempt,0.2964456081390381
0,00079.png,contempt,0.277963787317276
0,00080.png,contempt,0.23210549354553223
0,00081.png,contempt,0.2650870084762573
0,00082.png,contempt,0.29331788420677185
0,00083.png,disgust,0.31241923570632935
0,00084.png,fear,0.29757362604141235
0,00085.png,contempt,0.21485476195812225
0,00086.png,disgust,0.2833828032016754
0,00087.png,contempt,0.2840913236141205
0,00088.png,contempt,0.24497339129447937
0,00089.png,disgust,0.2292977273464203
0,00090.png,contempt,0.2925356328487396
0,00091.png,contempt,0.2531694173812866
0,00092.png,contempt,0.21318580210208893
0,00093.png,contempt,0.2955617606639862
0,00094.png,contempt,0.35942256450653076
0,00095.png,neutral,0.24074877798557281
0,00096.png,neutral,0.25085556507110596
0,00097.png,contempt,0.23396214842796326
0,00098.png,contempt,0.30080646276474
0,00099.png,disgust,0.21266089379787445
0,00100.png,contempt,0.2696828842163086
0,00101.png,contempt,0.3050984740257263
0,00102.png,neutral,0.3169039785861969
0,00103.png,contempt,0.3179595470428467
0,00104.png,contempt,0.3358080983161926
0,00105.png,contempt,0.21010065078735352
0,00106.png,contempt,0.23893670737743378
0,00107.png,contempt,0.38019847869873047
0,00108.png,contempt,0.24063074588775635
0,00109.png,contempt,0.2806631028652191
0,00110.png,contempt,0.3068700432777405
0,00111.png,contempt,0.28448039293289185
0,00112.png,neutral,0.29485467076301575
0,00113.png,contempt,0.3653271198272705
0,00114.png,contempt,0.24978287518024445
0,00115.png,contempt,0.2435203492641449
0,00116.png,disgust,0.24755725264549255
0,00117.png,disgust,0.3005081117153168
0,00118.png,contempt,0.26452887058258057
0,00119.png,disgust,0.3463486135005951
0,00120.png,neutral,0.2741083800792694
0,00121.png,neutral,0.2628355920314789
0,00122.png,disgust,0.27412062883377075
0,00123.png,contempt,0.28218385577201843
0,00124.png,contempt,0.289023220539093
0,00125.png,contempt,0.24009384214878082
0,00126.png,neutral,0.24268418550491333
0,00127.png,contempt,0.25601592659950256
0,00128.png,contempt,0.23558859527111053
0,00129.png,contempt,0.23463572561740875
0,00130.png,contempt,0.245594784617424
0,00131.png,contempt,0.27249735593795776
0,00132.png,contempt,0.2433585226535797
0,00133.png,contempt,0.22459718585014343
0,00134.png,contempt,0.2766004204750061
0,00135.png,contempt,0.25699830055236816
0,00136.png,contempt,0.2940632402896881
0,00137.png,neutral,0.3050858676433563
0,00138.png,neutral,0.227788046002388
0,00139.png,contempt,0.3039032220840454
0,00140.png,contempt,0.23771721124649048
0,00141.png,contempt,0.3210339844226837
0,00142.png,disgust,0.22924558818340302
0,00143.png,contempt,0.2577889561653137
0,00144.png,contempt,0.27015551924705505
0,00145.png,contempt,0.28843769431114197
0,00146.png,disgust,0.296187162399292
0,00147.png,disgust,0.30734941363334656
0,00148.png,disgust,0.22481517493724823
0,00149.png,contempt,0.2545892596244812
0,00150.png,disgust,0.2825928032398224
0,00151.png,contempt,0.33665311336517334
0,00152.png,neutral,0.23442253470420837
0,00153.png,contempt,0.2461208552122116
0,00154.png,neutral,0.22464661300182343
0,00155.png,contempt,0.3366973400115967
0,00156.png,contempt,0.2419993132352829
0,00157.png,contempt,0.23396186530590057
0,00158.png,contempt,0.22855274379253387
0,00159.png,contempt,0.23395107686519623
0,00160.png,contempt,0.2358662635087967
0,00161.png,contempt,0.2410435527563095
0,00162.png,contempt,0.28210264444351196
0,00163.png,contempt,0.2982819378376007
0,00164.png,neutral,0.21773533523082733
0,00165.png,contempt,0.2900278568267822
0,00166.png,disgust,0.21474087238311768
0,00167.png,contempt,0.2616998553276062
0,00168.png,contempt,0.24627074599266052
0,00169.png,contempt,0.2673237919807434
0,00170.png,contempt,0.26429253816604614
0,00171.png,contempt,0.35602501034736633
0,00172.png,contempt,0.32657867670059204
0,00173.png,contempt,0.258052259683609
0,00174.png,contempt,0.22283188998699188
0,00175.png,contempt,0.25018051266670227
0,00176.png,contempt,0.2570795714855194
0,00177.png,contempt,0.23322056233882904
0,00178.png,contempt,0.27236464619636536
0,00179.png,contempt,0.33246344327926636
0,00180.png,contempt,0.300572007894516
0,00181.png,contempt,0.21237100660800934
0,00182.png,disgust,0.25717225670814514
0,00183.png,contempt,0.2914847135543823
0,00184.png,contempt,0.36063605546951294
0,00185.png,neutral,0.24685445427894592
0,00186.png,neutral,0.27188265323638916
0,00187.png,neutral,0.2501124143600464
0,00188.png,contempt,0.32507699728012085
0,00189.png,disgust,0.19304804503917694
0,00190.png,disgust,0.28844133019447327
0,00191.png,disgust,0.22502417862415314
0,00192.png,contempt,0.31413596868515015
0,00193.png,neutral,0.27112171053886414
0,00194.png,contempt,0.26747408509254456
0,00195.png,contempt,0.23045767843723297
0,00196.png,disgust,0.24352557957172394
0,00197.png,contempt,0.2466457039117813
0,00198.png,disgust,0.27858424186706543
0,00199.png,neutral,0.305825412273407
0,00200.png,contempt,0.2553788423538208
0,00201.png,contempt,0.25167614221572876
0,00202.png,contempt,0.32719531655311584
0,00203.png,contempt,0.2428697943687439
0,00204.png,contempt,0.299772709608078
0,00205.png,contempt,0.2994128465652466
0,00206.png,contempt,0.24431021511554718
0,00207.png,contempt,0.26123225688934326
0,00208.png,neutral,0.25281062722206116
0,00209.png,contempt,0.2143961489200592
0,00210.png,contempt,0.3091016709804535
0,00211.png,contempt,0.2186187356710434
0,00212.png,disgust,0.219271719455719
0,00213.png,neutral,0.24147772789001465
0,00214.png,fear,0.2450011819601059
0,00215.png,contempt,0.2878851890563965
0,00216.png,contempt,0.30838993191719055
0,00217.png,contempt,0.2680447995662689
0,00218.png,contempt,0.2532866299152374
0,00219.png,contempt,0.2771313190460205
0,00220.png,disgust,0.2830324172973633
0,00221.png,neutral,0.24997207522392273
0,00222.png,contempt,0.2968181371688843
0,00223.png,contempt,0.28385716676712036
0,00224.png,disgust,0.20965327322483063
0,00225.png,contempt,0.29914170503616333
0,00226.png,disgust,0.2555525004863739
0,00227.png,contempt,0.20589029788970947
0,00228.png,contempt,0.36005088686943054
0,00229.png,contempt,0.2617109715938568
0,00230.png,contempt,0.28088557720184326
0,00231.png,contempt,0.23720258474349976
0,00232.png,contempt,0.2726569175720215
0,00233.png,contempt,0.245534285902977
0,00234.png,contempt,0.31039342284202576
0,00235.png,disgust,0.26501455903053284
0,00236.png,contempt,0.23939965665340424
0,00237.png,contempt,0.22484154999256134
0,00238.png,disgust,0.336686909198761
0,00239.png,contempt,0.2743496894836426
0,00240.png,disgust,0.22939762473106384
0,00241.png,contempt,0.2642432451248169
0,00242.png,contempt,0.24099622666835785
0,00243.png,contempt,0.2683054208755493
0,00244.png,contempt,0.19869329035282135
0,00245.png,neutral,0.23947620391845703
0,00246.png,contempt,0.28272271156311035
0,00247.png,contempt,0.30582138895988464
0,00248.png,contempt,0.2812199890613556
0,00249.png,disgust,0.2657822072505951
0,00250.png,disgust,0.38455986976623535
0,00251.png,neutral,0.22399353981018066
0,00252.png,disgust,0.30229079723358154
0,00253.png,neutral,0.25637131929397583
0,00254.png,neutral,0.21951615810394287
0,00255.png,contempt,0.267049103975296
0,00256.png,contempt,0.3006476163864136
0,00257.png,disgust,0.24968689680099487
0,00258.png,disgust,0.23479244112968445
0,00259.png,neutral,0.238813117146492
0,00260.png,contempt,0.22317293286323547
0,00261.png,contempt,0.23417715728282928
0,00262.png,disgust,0.23117832839488983
0,00263.png,contempt,0.2534250020980835
0,00264.png,contempt,0.22425156831741333
0,00265.png,contempt,0.238966703414917
0,00266.png,neutral,0.21274115145206451
0,00267.png,contempt,0.21993255615234375
0,00268.png,contempt,0.26328906416893005
0,00269.png,contempt,0.2357049435377121
0,00270.png,contempt,0.25239652395248413
0,00271.png,disgust,0.22687655687332153
0,00272.png,neutral,0.2832601070404053
0,00273.png,surprise,0.1836644560098648
0,00274.png,contempt,0.31405016779899597
0,00275.png,contempt,0.23494642972946167
0,00276.png,neutral,0.23611317574977875
0,00277.png,disgust,0.22326211631298065
0,00278.png,contempt,0.22930815815925598
0,00279.png,neutral,0.2673686444759369
0,00280.png,contempt,0.23819094896316528
0,00281.png,contempt,0.3150200843811035
0,00282.png,disgust,0.2374255657196045
0,00283.png,disgust,0.2572665214538574
0,00284.png,neutral,0.33853840827941895
0,00285.png,neutral,0.25186946988105774
0,00286.png,contempt,0.3028838336467743
0,00287.png,contempt,0.2249635010957718
0,00288.png,contempt,0.22277100384235382
0,00289.png,contempt,0.25003665685653687
0,00290.png,contempt,0.21526838839054108
0,00291.png,contempt,0.22508639097213745
0,00292.png,contempt,0.28467437624931335
0,00293.png,disgust,0.2599906027317047
0,00294.png,contempt,0.3139716386795044
0,00295.png,contempt,0.2948228716850281
0,00296.png,fear,0.27065587043762207
0,00297.png,disgust,0.23802655935287476
0,00298.png,contempt,0.3069891631603241
0,00299.png,contempt,0.3140789568424225
0,00300.png,contempt,0.27700790762901306
0,00301.png,neutral,0.3068581819534302
0,00302.png,contempt,0.30406177043914795
0,00303.png,contempt,0.25322696566581726
0,00304.png,fear,0.20465682446956635
0,00305.png,disgust,0.3047606348991394
0,00306.png,disgust,0.2945362329483032
0,00307.png,contempt,0.3128395676612854
0,00308.png,contempt,0.2534430921077728
0,00309.png,contempt,0.293794721364975
0,00310.png,contempt,0.283125102519989
0,00311.png,neutral,0.2656756341457367
0,00312.png,contempt,0.288688600063324
0,00313.png,contempt,0.19117780029773712
0,00314.png,contempt,0.28335851430892944
0,00315.png,contempt,0.2582871913909912
0,00316.png,contempt,0.23902703821659088
0,00317.png,contempt,0.30183306336402893
0,00318.png,disgust,0.24880780279636383
0,00319.png,neutral,0.2022833675146103
0,00320.png,disgust,0.2975582778453827
0,00321.png,contempt,0.2888515889644623
0,00322.png,disgust,0.2013087123632431
0,00323.png,disgust,0.3227787911891937
0,00324.png,disgust,0.25133588910102844
0,00325.png,contempt,0.3370733857154846
0,00326.png,disgust,0.37061354517936707
0,00327.png,disgust,0.24674756824970245
0,00328.png,contempt,0.27462512254714966
0,00329.png,disgust,0.2010156661272049
0,00330.png,disgust,0.2592307925224304
0,00331.png,contempt,0.24705135822296143
0,00332.png,contempt,0.29675036668777466
0,00333.png,contempt,0.21291474997997284
0,00334.png,contempt,0.24002723395824432
0,00335.png,contempt,0.25300151109695435
0,00336.png,disgust,0.24751800298690796
0,00337.png,contempt,0.26232030987739563
0,00338.png,disgust,0.252852201461792
0,00339.png,contempt,0.260292112827301
0,00340.png,contempt,0.2728470265865326
0,00341.png,contempt,0.21325944364070892
0,00342.png,contempt,0.3149195611476898
0,00343.png,contempt,0.21708665788173676
0,00344.png,contempt,0.28800928592681885
0,00345.png,disgust,0.34416911005973816
0,00346.png,neutral,0.27372127771377563
0,00347.png,neutral,0.22511577606201172
0,00348.png,disgust,0.22722753882408142
0,00349.png,contempt,0.2623538374900818
0,00350.png,contempt,0.23658010363578796
0,00351.png,contempt,0.2503003776073456
0,00352.png,neutral,0.28097930550575256
0,00353.png,contempt,0.32059118151664734
0,00354.png,contempt,0.2586492598056793
0,00355.png,contempt,0.3226940631866455
0,00356.png,contempt,0.25635775923728943
0,00357.png,disgust,0.3533596992492676
0,00358.png,contempt,0.2867462635040283
0,00359.png,contempt,0.2767519950866699
0,00360.png,contempt,0.327873557806015
0,00361.png,contempt,0.31701961159706116
0,00362.png,disgust,0.2495879828929901
0,00363.png,neutral,0.25743046402931213
0,00364.png,contempt,0.3009253740310669
0,00365.png,disgust,0.22303873300552368
0,00366.png,disgust,0.28147077560424805
0,00367.png,disgust,0.3531683385372162
0,00368.png,neutral,0.3489736318588257
0,00369.png,disgust,0.2720964252948761
0,00370.png,contempt,0.2841344177722931
0,00371.png,contempt,0.23908455669879913
0,00372.png,contempt,0.24342620372772217
0,00373.png,contempt,0.2059641033411026
0,00374.png,contempt,0.2687388062477112
0,00375.png,neutral,0.26042282581329346
0,00376.png,neutral,0.29511335492134094
0,00377.png,contempt,0.2670952379703522
0,00378.png,disgust,0.3385568857192993
0,00379.png,contempt,0.28446513414382935
0,00380.png,contempt,0.23738914728164673
